Tier,Lights,Mode,Avg_GPU_ms,P50_ms,P95_ms,P99_ms,FPS,Overhead_ms,ns_per_light,VRAM_MB,Contrib_Records,FanIn,Rays
1k,1000,Static,0.0248381,0.024576,0.026624,0.031744,40260.7,0,0,28.0447,10000,10,0
1k,1000,Animated,0.0319775,0.031744,0.033792,0.038912,31272,0.00713933,7.13933,28.0447,10000,10,0
4k,4000,Static,0.114678,0.11264,0.136192,0.152576,8720.09,0,0,28.7771,40000,40,0
4k,4000,Animated,0.127042,0.124928,0.141312,0.169984,7871.44,0.0123638,3.09094,28.7771,40000,40,0
16k,16000,Static,0.200208,0.196608,0.224256,0.275456,4994.8,0,0,31.7068,64000,64,0
16k,16000,Animated,0.272919,0.269312,0.308224,0.36352,3664.1,0.0727101,4.54438,31.7068,64000,64,0
64k,64000,Static,0.214968,0.207872,0.26624,0.334848,4651.85,0,0,43.4255,64000,64,0
64k,64000,Animated,0.493478,0.4864,0.54272,0.636928,2026.43,0.27851,4.35172,43.4255,64000,64,0
128k,128000,Static,0.202453,0.19968,0.238592,0.268288,4939.42,0,0,59.0505,64000,64,0
128k,128000,Animated,0.783841,0.77824,0.841728,0.91136,1275.77,0.581388,4.5421,59.0505,64000,64,0
