light_id,x,y,z,status,hits,bounce0_nodes,bounce1_nodes,contributions
0,0.000,2.200,0.000,SCENE_VALID,1,1,0,0
1,0.389,1.897,-0.241,SCENE_VALID,1,1,0,0
2,0.177,1.907,0.385,SCENE_VALID,1,1,0,0
3,-0.309,2.200,-0.373,SCENE_VALID,1,1,0,0
4,-0.318,1.887,0.210,SCENE_VALID,1,1,0,0
5,0.164,1.917,0.038,SCENE_VALID,1,1,0,0
6,0.393,2.199,-0.271,SCENE_VALID,1,1,0,0
7,0.015,1.878,0.393,SCENE_VALID,1,1,0,0
8,-0.386,1.927,-0.357,SCENE_VALID,1,1,1,0
9,-0.191,2.197,0.176,SCENE_VALID,0,0,0,0
10,0.299,1.870,0.076,SCENE_VALID,1,1,0,0
11,0.327,1.937,-0.297,SCENE_VALID,1,1,0,0
12,-0.150,2.195,0.399,SCENE_VALID,1,1,0,0
13,-0.395,1.861,-0.338,SCENE_VALID,1,1,1,0
14,-0.030,1.948,0.141,SCENE_VALID,0,0,0,0
15,0.381,2.192,0.113,SCENE_VALID,1,1,1,0
16,0.204,1.854,-0.322,SCENE_VALID,1,1,1,0
17,-0.289,1.959,0.400,SCENE_VALID,1,1,0,0
18,-0.335,2.189,-0.317,SCENE_VALID,1,1,0,0
19,0.136,1.846,0.105,SCENE_VALID,0,0,0,0
20,0.397,1.970,0.149,SCENE_VALID,1,1,0,0
21,0.045,2.185,-0.343,SCENE_VALID,1,1,0,0
22,-0.377,1.839,0.398,SCENE_VALID,1,1,1,0
23,-0.217,1.981,-0.292,SCENE_VALID,1,1,0,0
24,0.278,2.180,0.068,SCENE_VALID,1,1,0,0
25,0.343,1.833,0.184,SCENE_VALID,1,1,1,0
26,-0.121,1.992,-0.361,SCENE_VALID,1,1,0,0
27,-0.399,2.175,0.392,SCENE_VALID,1,1,0,0
28,-0.060,1.827,-0.264,SCENE_VALID,1,1,0,1
29,0.371,2.003,0.030,SCENE_VALID,1,1,1,0
30,0.229,2.170,0.217,SCENE_VALID,1,1,0,0
31,-0.267,1.822,-0.376,SCENE_VALID,1,1,0,0
32,-0.351,2.014,0.383,SCENE_VALID,1,1,0,0
33,0.107,2.163,-0.235,SCENE_VALID,1,1,0,0
34,0.400,1.817,-0.008,SCENE_VALID,1,1,0,0
35,0.075,2.025,0.248,SCENE_VALID,1,1,0,0
36,-0.365,2.157,-0.387,SCENE_VALID,1,1,0,0
37,-0.242,1.813,0.370,SCENE_VALID,1,1,0,0
38,0.255,2.036,-0.203,SCENE_VALID,0,0,0,0
39,0.358,2.150,-0.046,SCENE_VALID,1,1,0,0
40,-0.092,1.809,0.277,SCENE_VALID,1,1,1,0
41,-0.400,2.047,-0.395,SCENE_VALID,1,1,1,0
42,-0.090,2.142,0.353,SCENE_VALID,1,1,1,0
43,0.359,1.806,-0.169,SCENE_VALID,1,1,0,0
44,0.253,2.058,-0.084,SCENE_VALID,1,1,1,0
45,-0.244,2.134,0.303,SCENE_VALID,1,1,1,0
46,-0.364,1.804,-0.399,SCENE_VALID,1,1,1,0
47,0.078,2.069,0.334,SCENE_VALID,1,1,0,0
48,0.400,2.125,-0.134,SCENE_VALID,1,1,1,0
49,0.105,1.802,-0.121,SCENE_VALID,1,1,0,0
50,-0.352,2.079,0.326,SCENE_VALID,1,1,0,0
51,-0.265,2.117,-0.400,SCENE_VALID,1,1,0,0
52,0.231,1.801,0.311,SCENE_VALID,1,1,1,0
53,0.370,2.089,-0.097,SCENE_VALID,1,1,0,0
54,-0.063,2.107,-0.157,SCENE_VALID,0,0,0,0
55,-0.399,1.800,0.347,SCENE_VALID,1,1,1,0
56,-0.119,2.099,-0.397,SCENE_VALID,1,1,0,0
57,0.345,2.098,0.286,SCENE_VALID,1,1,1,0
58,0.276,1.800,-0.060,SCENE_VALID,1,1,0,0
59,-0.219,2.109,-0.191,SCENE_VALID,0,0,0,0
60,-0.376,2.088,0.364,SCENE_VALID,1,1,0,0
61,0.048,1.801,-0.390,SCENE_VALID,1,1,1,0
62,0.398,2.118,0.258,SCENE_VALID,1,1,0,0
63,0.133,2.078,-0.022,SCENE_VALID,1,1,1,0
64,-0.337,1.802,-0.224,SCENE_VALID,1,1,1,0
65,-0.287,2.127,0.378,SCENE_VALID,1,1,0,0
66,0.206,2.067,-0.380,SCENE_VALID,1,1,0,0
67,0.381,1.804,0.228,SCENE_VALID,1,1,0,0
68,-0.033,2.135,0.017,SCENE_VALID,1,1,0,0
69,-0.396,2.057,-0.254,SCENE_VALID,1,1,0,0
70,-0.148,1.806,0.389,SCENE_VALID,1,1,1,0
71,0.328,2.143,-0.366,SCENE_VALID,1,1,1,0
72,0.297,2.046,0.195,SCENE_VALID,1,1,0,0
73,-0.193,1.810,0.055,SCENE_VALID,1,1,0,0
74,-0.385,2.151,-0.283,SCENE_VALID,1,1,0,0
75,0.018,2.035,0.396,SCENE_VALID,1,1,0,0
76,0.393,1.813,-0.349,SCENE_VALID,1,1,0,0
77,0.161,2.158,0.161,SCENE_VALID,0,0,0,0
78,-0.320,2.024,0.092,SCENE_VALID,1,1,1,0
79,-0.307,1.818,-0.308,SCENE_VALID,1,1,0,0
80,0.180,2.164,0.400,SCENE_VALID,1,1,1,0
81,0.389,2.013,-0.329,SCENE_VALID,1,1,0,0
82,-0.003,1.822,0.126,SCENE_VALID,1,1,0,0
83,-0.390,2.170,0.129,SCENE_VALID,1,1,0,0
84,-0.175,2.002,-0.331,SCENE_VALID,1,1,0,0
85,0.310,1.828,0.399,SCENE_VALID,1,1,1,0
86,0.317,2.176,-0.306,SCENE_VALID,1,1,0,0
87,-0.166,1.990,0.089,SCENE_VALID,1,1,1,0
88,-0.392,1.834,0.164,SCENE_VALID,1,1,1,0
89,-0.013,2.181,-0.351,SCENE_VALID,1,1,1,0
90,0.386,1.979,0.396,SCENE_VALID,1,1,0,0
91,0.189,1.840,-0.280,SCENE_VALID,1,1,1,0
92,-0.300,2.186,0.051,SCENE_VALID,1,1,0,0
93,-0.326,1.968,0.198,SCENE_VALID,0,0,0,0
94,0.152,1.847,-0.368,SCENE_VALID,1,1,0,0
95,0.395,2.189,0.388,SCENE_VALID,1,1,1,0
96,0.028,1.957,-0.252,SCENE_VALID,1,1,0,0
97,-0.382,1.855,0.013,SCENE_VALID,1,1,1,0
98,-0.202,2.193,0.230,SCENE_VALID,1,1,0,0
99,0.290,1.946,-0.381,SCENE_VALID,1,1,0,0
100,0.334,1.863,0.377,SCENE_VALID,1,1,0,0
101,-0.138,2.195,-0.221,SCENE_VALID,0,0,0,0
102,-0.397,1.936,-0.025,SCENE_VALID,1,1,0,0
103,-0.043,1.871,0.261,SCENE_VALID,1,1,0,0
104,0.378,2.197,-0.391,SCENE_VALID,1,1,0,0
105,0.215,1.925,0.363,SCENE_VALID,1,1,0,0
106,-0.280,1.880,-0.188,SCENE_VALID,1,1,0,0
107,-0.342,2.199,-0.063,SCENE_VALID,1,1,0,0
108,0.124,1.915,0.288,SCENE_VALID,1,1,0,0
109,0.399,1.889,-0.397,SCENE_VALID,1,1,0,0
110,0.058,2.200,0.345,SCENE_VALID,1,1,0,0
111,-0.372,1.905,-0.154,SCENE_VALID,1,1,0,0
112,-0.227,1.898,-0.100,SCENE_VALID,1,1,1,0
113,0.269,2.200,0.313,SCENE_VALID,1,1,0,0
114,0.350,1.895,-0.400,SCENE_VALID,1,1,1,0
115,-0.109,1.908,0.325,SCENE_VALID,1,1,1,0
