retention_mode,couplings,mean_fanin,p95_fanin,max_fanin,rmse,psnr_db,ssim,mean_rel_error_pct,p95_rel_error_pct,energy_retention_pct
K8,9600,8.0,8.0,8.0,4.12196,-6.28,0.5054,79.58,82.08,20.21
K16,19193,16.0,16.0,16.0,3.34796,-4.48,0.5982,64.34,67.84,35.32
K32,38371,32.0,32.0,32.0,2.05918,-0.25,0.7529,38.96,43.79,60.52
K64,75288,62.7,64.0,64.0,0.18949,20.47,0.9773,2.38,7.90,97.54
K128,79387,66.2,75.0,78.0,0.00000,99.90,1.0000,0.00,0.00,100.00
Energy95,71807,59.8,67.0,70.0,0.25855,17.77,0.9690,4.99,5.35,95.00
Energy97,74496,62.1,70.0,73.0,0.15540,22.19,0.9814,2.98,3.29,97.01
Energy98,76297,63.6,72.0,75.0,0.09196,26.75,0.9890,1.75,2.22,98.24
Energy99,77897,64.9,73.0,77.0,0.04137,33.69,0.9950,0.77,1.03,99.22
Energy99.5,79034,65.9,74.0,77.0,0.01308,43.69,0.9984,0.13,0.49,99.86
Unlimited,79387,66.2,75.0,78.0,0.00000,99.90,1.0000,0.00,0.00,100.00
